2026-05-02 13:32:47 | INFO | nemweb_pipeline | Sample hrefs from https://www.nemweb.com.au/REPORTS/ARCHIVE/ROOFTOP_PV/ACTUAL/: /REPORTS/ARCHIVE/ROOFTOP_PV/, /REPORTS/ARCHIVE/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250410.zip, /REPORTS/ARCHIVE/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250417.zip, /REPORTS/ARCHIVE/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250424.zip, /REPORTS/ARCHIVE/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250501.zip, /REPORTS/ARCHIVE/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250508.zip, /REPORTS/ARCHIVE/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250515.zip, /REPORTS/ARCHIVE/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250522.zip, /REPORTS/ARCHIVE/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250529.zip, /REPORTS/ARCHIVE/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250605.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250410.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250417.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250424.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250501.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250508.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250515.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250522.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250529.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250605.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250612.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250619.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250626.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250703.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250710.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250717.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250724.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250731.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250807.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250814.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250821.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250828.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250904.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250911.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250918.zip because it falls outside the requested filename date range
